galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4374,inner,no_winsor,0.004473650243842351,5.460515735728534,0.8950274613753123,433,0.9207296781112001,0.018767052555784848
NGC 4374,inner,no_winsor,0.013420950731527052,1.0086243911008526,0.027860136852105397,1296,0.8412638004946542,0.006069502484142214
NGC 4374,inner,no_winsor,0.02236825121921175,0.8204444596246189,0.018387611966187732,2148,0.7571381264589858,0.0044810851683985825
NGC 4374,inner,no_winsor,0.031315551706896455,0.7785426102782625,0.01435297907362246,3000,0.6958733856169417,0.004128367455167106
NGC 4374,inner,no_winsor,0.04026285219458116,0.6998505470222111,0.011115880570892762,3884,0.6453808590043361,0.003591333734836778
NGC 4374,inner,no_winsor,0.04921015268226586,0.6569491569384196,0.009554453724427621,4760,0.6018942403913601,0.0015605296793118136
NGC 4374,inner,no_winsor,0.05815745316995056,0.5875684519455463,0.007819407561637418,5552,0.5686655613486703,0.0046006695161896595
NGC 4374,inner,no_winsor,0.06710475365763527,0.5404682574244447,0.006801007394482346,6500,0.5390794291739214,0.0014454626387652653
NGC 4374,inner,no_winsor,0.07605205414531996,0.5006593445593888,0.005812114482758421,7312,0.5073125001053391,0.0005462926870677384
NGC 4374,inner,no_winsor,0.08499935463300468,0.4537618762448276,0.005006800874564073,8176,0.47601295958221795,1.9788873587451416e-05
NGC 4374,inner,no_winsor,0.09394665512068937,0.4176345557704883,0.004358135545707977,9032,0.445510918876822,0.001179881824430862
NGC 4374,inner,no_winsor,0.10289395560837407,0.38104425487259647,0.0037767647423547876,9936,0.41792738871041296,0.0018380114505818774
NGC 4374,inner,no_winsor,0.11184125609605877,0.34165438994922515,0.0032688249629742247,10768,0.3913374759004026,0.000618292781130548
NGC 4374,inner,no_winsor,0.12078855658374346,0.3211558386610033,0.002976273551157931,11580,0.366853892080595,0.0016127955225170045
NGC 4374,inner,no_winsor,0.12973585707142818,0.2884897011365738,0.0025877700116034535,12520,0.34417473748941046,0.0008749613589562531
NGC 4374,inner,no_winsor,0.13868315755911287,0.26272180008251633,0.0022555046782986366,13332,0.32287591045558367,0.0015233742490381992
NGC 4374,inner,no_winsor,0.14763045804679759,0.23288095622468305,0.001970643541783641,14210,0.30334646672553384,0.0013484344457408617
NGC 4374,inner,no_winsor,0.15657775853448228,0.2155991907828659,0.0018207294682865249,15074,0.28387184944638577,0.0006528463076722956
NGC 4374,inner,no_winsor,0.16552505902216696,0.19620995223798704,0.001547425245820981,15960,0.2651710789297471,0.0016290643138536006
NGC 4374,inner,no_winsor,0.17447235950985168,0.1669121687423539,0.0012872277776167199,16796,0.24704574270651514,0.0016448003088507307
NGC 4374,inner,no_winsor,0.1834196599975364,0.1564315931101405,0.0011699075594640536,17600,0.2306308049046394,0.001666156315059224
NGC 4374,inner,no_winsor,0.1923669604852211,0.13787452397396377,0.0009951921647185105,18560,0.21495983149008271,0.001317733372727027
NGC 4374,inner,no_winsor,0.20131426097290578,0.1215530609138379,0.0008562062887625583,19368,0.20026352818552115,0.0005419755918919688
NGC 4374,inner,no_winsor,0.2102615614605905,0.10943205328315311,0.0007751836881499727,20246,0.18658252864825733,0.0014939162702894428
NGC 4374,inner,no_winsor,0.21920886194827519,0.09753213902117053,0.0006671407679176378,21078,0.17445586376658015,0.0015053241880191891
NGC 4374,inner,no_winsor,0.22815616243595988,0.08789157531720683,0.0005828312672553427,22000,0.16220991593092757,0.001213800758369051
NGC 4374,inner,no_winsor,0.2371034629236446,0.07689963061177765,0.0005127862496869002,22750,0.15213522133724874,0.0012237736670201243
NGC 4374,inner,no_winsor,0.2460507634113293,0.06903663242961292,0.0004494705229566307,23702,0.14280346016603185,0.00019650169663069746
NGC 4374,inner,no_winsor,0.254998063899014,0.06250230506891634,0.00040537955278159847,24568,0.13532623908921232,0.001583761015818994
NGC 4374,inner,no_winsor,0.2639453643866987,0.05697917573609835,0.00035522272849735823,25424,0.12790363349325062,0.0010629002986494082
NGC 4374,inner,no_winsor,0.2728926648743834,0.050166031521350365,0.00031726048536457664,26246,0.12192492710947896,0.0007318571868430733
NGC 4374,inner,no_winsor,0.2818399653620681,0.044254878632338755,0.0002707385677046568,27102,0.11613059451531371,0.0004041179483983272
NGC 4374,inner,no_winsor,0.2907872658497528,0.04079647769411281,0.000245404837827974,28052,0.11130319040868082,0.0008691539800113221
NGC 4374,inner,no_winsor,0.2997345663374375,0.03677847141342448,0.00022220613590961195,28774,0.10593807387479486,0.0005744416560100681
NGC 4374,inner,no_winsor,0.3086818668251222,0.032381189513574354,0.00018927669588119072,29762,0.10099619822433906,9.962401183981368e-05
NGC 4374,inner,no_winsor,0.3176291673128069,0.029048763280386976,0.00016939783678736488,30604,0.09617297238832087,0.0005175751104512984
NGC 4374,inner,no_winsor,0.32657646780049165,0.026198389175264146,0.0001491340464349268,31396,0.09098945171943745,0.0007230507729583476
NGC 4374,inner,no_winsor,0.3355237682881763,0.02259693944900424,0.00012689924194428221,32310,0.08574908669306251,0.0005837659434593314
NGC 4374,inner,no_winsor,0.344471068775861,0.020063974872044945,0.00011297729032220164,33150,0.08050004480081131,0.0007761197481695079
NGC 4374,inner,no_winsor,0.35341836926354575,0.017190124607390292,9.469638987672073e-05,34048,0.07490199244558798,0.0004961909303148338
NGC 4374,inner,no_winsor,0.3623656697512304,0.014834610174445007,8.17633197192849e-05,34826,0.06948581248649767,0.00047518572973970674
NGC 4374,inner,no_winsor,0.3713129702389151,0.012642306449336855,6.782233122556738e-05,35762,0.06410904307185643,0.0004261006658221877
