galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 1404,inner,no_winsor,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.9282545681953465,-0.080208411111159,0.01956336453271283,1.28119889294242e-07,0.9282544400754572,28.080416325226146,0.022882360959480874,951.0280399116192,38.04112159646477,955.5280399116192,17.996905979986067
NGC 1404,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9260364816274412,-0.07940025059142555,0.0190307121631413,1.28119889294242e-07,0.926036353507552,28.083013822931505,0.022312658806093944,904.7506632084696,36.190026528338784,909.2506632084696,17.94629803193147
NGC 1404,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9272825972863239,-0.0806296599005631,0.01909554963578787,1.28119889294242e-07,0.9272824691664346,28.081553790179996,0.02235859112916062,908.4403775395749,36.337615101583,912.9403775395749,17.977750695436544
NGC 1404,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9302693844013935,-0.07819547336290907,0.018817022830194395,1.28119889294242e-07,0.9302692562815043,28.078062241969516,0.021961730772622694,876.8009634570215,35.07203853828086,881.3009634570215,18.011800955385816
NGC 1404,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9251465897497135,-0.08096894031286925,0.019805938508409785,1.28119889294242e-07,0.9251464616298243,28.084057682993834,0.023243913693308877,980.9757631152581,39.23903052461033,985.4757631152581,17.949039637348275
NGC 1404,inner,no_winsor,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.9245094878970652,-0.07954128879057785,0.019928411967728953,1.28119889294242e-07,0.924509359777176,28.084805632495453,0.02340376346423733,886.10583301088,38.52634056569043,890.6512875563345,18.214033048087998
NGC 1404,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.9224028568885551,-0.07875443828854524,0.019410619961515618,1.28119889294242e-07,0.9224027287686658,28.087282465650762,0.022847734716864455,844.9210964665673,36.73569984637249,849.4665510120218,18.16522348884659
NGC 1404,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9235224017532,-0.07995742051679358,0.019418195332625426,1.28119889294242e-07,0.9235222736333107,28.085965477647616,0.02282894338947788,843.5458264289126,36.675905496909245,848.0912809743671,18.194122453276623
NGC 1404,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.926538995116925,-0.0775403460231607,0.01914511350002832,1.28119889294242e-07,0.9265388669970357,28.08242480814144,0.02243461511609839,814.937026272948,35.432044620562955,819.4824808184025,18.229645184978164
NGC 1404,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9212584764177573,-0.08027094501980862,0.020133487676573938,1.28119889294242e-07,0.921258348297868,28.08863032235196,0.02372804169307797,910.5627271023722,39.589683787059656,915.1081816478267,18.162022757430076
NGC 1404,inner,no_winsor,0.04,0.04,0.25,stpsf_R2023111002-NRCA3_FP1-1,24,0.919759174948621,-0.07869937227562082,0.018942682593933495,1.28119889294242e-07,0.9197590468287318,28.090398742629873,0.02236102637792805,753.3792264808635,34.24451029458471,757.9506550522921,18.361040786380354
NGC 1404,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.9177350797004837,-0.0779290600903506,0.018444938662216057,1.28119889294242e-07,0.9177349515805945,28.09279073344298,0.02182148306068112,717.7780408781935,32.62627458537243,722.349469449622,18.313773468267566
NGC 1404,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9188263079472587,-0.07912198935736613,0.018425576305808666,1.28119889294242e-07,0.9188261798273695,28.091500511043797,0.02177268750930524,714.5996673593486,32.481803061788575,719.1710959307771,18.342246154532855
NGC 1404,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9221008350963035,-0.07676427810623564,0.018378819228876565,1.28119889294242e-07,0.9221007069764142,28.087638025842246,0.02164031464950018,706.011938686487,32.09145175847669,710.5833672579156,18.385694821398097
NGC 1404,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9167016804993443,-0.0794563759258203,0.019359125402797363,1.28119889294242e-07,0.916701552379455,28.09401399632824,0.022928840130914754,791.7496660453584,35.98862118387993,796.3210946167869,18.31377383151335
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.8429885748020365,-0.0724097178875753,0.01737223269128298,1.28119889294242e-07,0.8429884466821472,28.185029856893046,0.02237475740580412,906.342143815371,36.253685752614835,910.842143815371,17.92744113138119
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.8409259578159799,-0.0716665218026526,0.016921680220537423,1.28119889294242e-07,0.8409258296960906,28.187689682383844,0.021847920722588336,864.585818208927,34.58343272835708,869.085818208927,17.876456837322895
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,0.8420923554850177,-0.07278965416180068,0.016938513717935283,1.28119889294242e-07,0.8420922273651285,28.18618476640762,0.021839362721466363,863.9154025378372,34.556616101513484,868.4154025378372,17.908077399124636
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.8447738292665332,-0.07057347848320002,0.016682797806320492,1.28119889294242e-07,0.844773701146644,28.182732950149155,0.021441384302560585,833.0173031162826,33.3206921246513,837.5173031162826,17.94138875586359
NGC 1404,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,0.8401822606576996,-0.07310232526943757,0.017580931327249597,1.28119889294242e-07,0.8401821325378104,28.18865030954276,0.02271918541959979,934.1561775877539,37.366247103510155,938.6561775877539,17.879891882012306
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.8396078394043535,-0.07180717748669771,0.0176801380514554,1.28119889294242e-07,0.8396077112844642,28.189392866688397,0.022863017727910395,842.982861739862,36.65142877129835,847.5283162853165,18.143032893405362
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.8376460046778028,-0.07108325931831551,0.017245731368544792,1.28119889294242e-07,0.8376458765579136,28.19193277595101,0.02235349740072107,806.1871912862978,35.05161701244773,810.7326458317523,18.09382555914453
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,0.838698094781939,-0.0721825160029542,0.017206310970872187,1.28119889294242e-07,0.8386979666620498,28.190569938044778,0.02227442477982134,800.5482990672343,34.80644778553193,805.0937536126888,18.12291452902378
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.8414069473291529,-0.06998187527843687,0.016954762489187057,1.28119889294242e-07,0.8414068192092636,28.18706884471166,0.021878120140368336,772.5763719676182,33.590277042070355,777.1218265130727,18.15767887151584
NGC 1404,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,0.8366724294925627,-0.07247191243200865,0.017853051468110323,1.28119889294242e-07,0.8366723013726735,28.19319543433905,0.02316761808958666,865.360002798833,37.62434794777535,869.9054573442875,18.091376070371034
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_R2023111002-NRCA3_FP1-1,24,0.835274671931703,-0.07103883864930602,0.016766744345115884,1.28119889294242e-07,0.8352745438118138,28.19501079868179,0.02179434475321128,713.0843312883974,32.41292414947261,717.6557598598259,18.29347104899511
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.8333897169075889,-0.07033029584830923,0.016355027766582778,1.28119889294242e-07,0.8333895887876996,28.197463736627224,0.021307256551925738,681.8314489973841,30.992338590790187,686.4028775688126,18.24582863499693
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,0.8344157402966504,-0.0714203384433464,0.01628519931792908,1.28119889294242e-07,0.8344156121767612,28.196127860134784,0.02119019616022284,674.4222613472525,30.655557333966023,678.9936899186811,18.274488367040536
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.837367866489711,-0.06927525859671646,0.016245098063578923,1.28119889294242e-07,0.8373677383698217,28.1922933517706,0.021063494936897218,666.4473442703998,30.29306110319999,671.0187728418283,18.31735287826774
NGC 1404,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,0.8325215115437767,-0.07172955784712352,0.017135670455574695,1.28119889294242e-07,0.8325213834238875,28.198595420249845,0.02234755548248642,749.4060027212087,34.06390921460039,753.9774312926372,18.246676806667228
NGC 1404,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.9085104251867699,-0.0781956758189733,0.018879521137678584,1.28119889294242e-07,0.9085102970668807,28.103759278407207,0.022562407596096883,922.3669506465045,36.89467802586018,926.8669506465045,17.95509094218998
