schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap,region_id
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,10.0,20.418518620767955,1075.5458510053813,2999.308453695448,1075.5458510053813,3057.308453695448,0.08198295525398946,2.4451007796421957,-1.264740112910804,1.0,61,61,2.4451007796421957,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,20.0,12.81719826439156,1076.598915974168,2998.9530911711563,1076.598915974168,3056.9530911711563,0.04856393642436863,1.7704532586265573,-0.35970834227888027,1.0,111,111,1.7704532586265573,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,30.0,9.56997368725174,1077.108178141175,2999.8549365796475,1077.108178141175,3057.8549365796475,0.052955542737542174,2.708574814992575,-0.20350167218201773,1.0,176,176,2.708574814992575,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,40.0,7.541299222706203,1075.4384116308286,2999.1912813141853,1075.4384116308286,3057.1912813141853,0.020686434075475053,2.378967022335191,-0.14455315929547138,1.0,243,243,2.378967022335191,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,50.0,6.391372511417512,1076.1405520423139,2999.8408239813657,1076.1405520423139,3057.8408239813657,0.08818233415850031,2.2572608983932008,-0.1329001299196852,1.0,283,283,2.2572608983932008,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,60.0,5.216747424635445,1075.2355675357915,3000.945258704716,1075.2355675357915,3058.945258704716,0.08818233415850031,2.475436102177524,-0.06173899644099245,1.0,335,335,2.475436102177524,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,70.0,4.46854420786303,1076.4478125340577,2999.992413185952,1076.4478125340577,3057.992413185952,0.08818233415850031,2.475436102177524,-0.07393505854759816,1.0,397,397,2.475436102177524,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,80.0,3.6907413434110583,1077.690511706364,2996.8458772417885,1077.690511706364,3054.8458772417885,0.028061446759991858,2.475436102177524,-0.05411880592041079,1.0,497,497,2.475436102177524,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,90.0,3.2609720355238054,1076.7855564915706,2997.826407883201,1076.7855564915706,3055.826407883201,0.07229579343870585,2.316133202255127,-0.04346869452817268,1.0,547,547,2.316133202255127,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,100.0,2.784420216678464,1075.9447418713,2997.0503999308207,1075.9447418713,3055.0503999308207,0.05419996841441883,2.316133202255127,-0.03665463985270314,1.0,614,614,2.316133202255127,
