galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4486,inner,no_winsor,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.2405806580027696,-0.10632586869774263,0.03927534047812104,0.0023496992966127,1.2382309587061568,27.767755073802086,0.034438372592344425,2156.166034520773,86.24664138083091,2160.666034520773,18.639169562270233
NGC 4486,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.239849058910586,-0.10569668075747984,0.03839115925431626,0.0023496992966127,1.2374993596139732,27.768396762146732,0.03368298433548184,2064.8000025254505,82.59200010101802,2069.3000025254505,18.615693115634816
NGC 4486,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2397509222806047,-0.10659298468623947,0.03834199510178094,0.0023496992966127,1.237401222983992,27.76848286701332,0.03364251745628102,2059.9568553441663,82.39827421376665,2064.4568553441663,18.618487881842157
NGC 4486,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2453526889633428,-0.10407958695856644,0.038020898979604874,0.0023496992966127,1.24300298966673,27.763578786293433,0.03321043223771849,2008.6135542593101,80.3445421703724,2013.1135542593101,18.67867801827083
NGC 4486,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.2356429986602964,-0.10711010886557164,0.03923989779578218,0.0023496992966127,1.2332932993636836,27.77209328948402,0.03454504920270872,2169.1835394593422,86.76734157837369,2173.6835394593422,18.575205545535233
NGC 4486,inner,no_winsor,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.2329043326072981,-0.10498522012057265,0.031044244745874965,0.0023496992966127,1.2305546333106854,27.774506969380127,0.027390787501475253,1232.848973756768,53.60212929377252,1237.3944283022224,18.687588962337987
NGC 4486,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.2321898901588377,-0.1043620574059794,0.029875909980519484,0.0023496992966127,1.229840190862225,27.775137515377615,0.02637526188927306,1144.3212559961291,49.75309808678822,1148.8667105415836,18.664378883996378
NGC 4486,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.2320984488804152,-0.1052541214278111,0.029728978291912556,0.0023496992966127,1.2297487495838024,27.77521824521422,0.026247498176291784,1133.4075728606242,49.278590124374965,1137.9530274060787,18.666594833810414
NGC 4486,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2376819144739686,-0.10275900356353455,0.029190241033729854,0.0023496992966127,1.2353322151773558,27.770299801401123,0.025655367136512938,1083.5032442267004,47.108836705508715,1088.048698772155,18.72724986721707
NGC 4486,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.2280114140251672,-0.10576754640144895,0.0309361184287405,0.0023496992966127,1.2256617147285545,27.77883266803682,0.02740435097967266,1234.0341722874903,53.65365966467349,1238.5796268329448,18.622395760525656
