galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4406,inner,no_winsor,0.004475359374598403,22.071459160653728,4.177007109440804,437,0.9231487850886514,0.003130515181629839
NGC 4406,inner,no_winsor,0.013426078123795208,1.2805409055811812,0.03826996564429096,1296,0.8399559358819964,0.004150913829970925
NGC 4406,inner,no_winsor,0.022376796872992013,0.9914922236757421,0.021766391761693385,2144,0.759311074423658,0.002778945777067855
NGC 4406,inner,no_winsor,0.031327515622188815,0.8349742298737887,0.01538247140697405,3000,0.6962138703708874,0.006113114993564551
NGC 4406,inner,no_winsor,0.04027823437138563,0.7533518670510853,0.012267057269535224,3888,0.649093772436673,0.0036472078872227024
NGC 4406,inner,no_winsor,0.049228953120582425,0.6968515555806728,0.010076658678296577,4760,0.6039157574927774,0.002831401718441141
NGC 4406,inner,no_winsor,0.05817967186977923,0.6558713310221814,0.008863093994953554,5556,0.5700399476153618,0.0034748440440160707
NGC 4406,inner,no_winsor,0.06713039061897604,0.6189140806087667,0.007607783292720916,6500,0.5395992262863379,0.0005152418390738666
NGC 4406,inner,no_winsor,0.07608110936817285,0.538119058180511,0.0062443618302356375,7304,0.5066973099345943,0.0014599251637891155
NGC 4406,inner,no_winsor,0.08503182811736965,0.5082306005705439,0.005512397713322243,8184,0.47648275748737606,0.0009681468304783253
NGC 4406,inner,no_winsor,0.09398254686656646,0.4362998697639957,0.004513295623554556,9016,0.4466562839621066,0.002496508259057392
NGC 4406,inner,no_winsor,0.10293326561576326,0.41773961461199055,0.004234727783162571,9952,0.419236662560626,0.0014774837610675487
NGC 4406,inner,no_winsor,0.11188398436496007,0.36236671033242135,0.0034396064353763843,10752,0.3918158485462043,0.0012894499511132665
NGC 4406,inner,no_winsor,0.12083470311415687,0.3423050612864028,0.003208329422663952,11588,0.36714951951455954,0.0018124264758160276
NGC 4406,inner,no_winsor,0.12978542186335368,0.3013615785079037,0.00269144833949877,12524,0.3449750868369024,0.0008412165694750537
NGC 4406,inner,no_winsor,0.13873614061255046,0.2866786466171925,0.0025317409127777984,13344,0.32255503118354045,0.0009170349149890266
NGC 4406,inner,no_winsor,0.1476868593617473,0.2561913269046405,0.0021787433989422585,14208,0.3036057803429574,0.001577495648085752
NGC 4406,inner,no_winsor,0.1566375781109441,0.23649897881900503,0.0019694015120291825,15040,0.28397634633000424,0.0014809171148406945
NGC 4406,inner,no_winsor,0.1655882968601409,0.20821496853300236,0.0016346631948458287,16000,0.2652280976562885,0.0023644012941696087
NGC 4406,inner,no_winsor,0.1745390156093377,0.18747972544884417,0.001445786674364034,16776,0.2466112231653107,0.0008181521522129813
NGC 4406,inner,no_winsor,0.1834897343585345,0.16542400190506176,0.0012469331889686179,17612,0.22987707917954917,0.002116144809010835
NGC 4406,inner,no_winsor,0.1924404531077313,0.14755391911588786,0.001069813625164149,18532,0.21551876146291116,0.002365432457435781
NGC 4406,inner,no_winsor,0.20139117185692812,0.13309635165472572,0.0009540450652800933,19408,0.20004548761653182,0.0006664899898623057
NGC 4406,inner,no_winsor,0.2103418906061249,0.11835270351612756,0.0008490720579312698,20204,0.18649176244156584,0.00015949585461623626
NGC 4406,inner,no_winsor,0.21929260935532174,0.10324148255368952,0.0007106747056804916,21104,0.17422699738298625,0.001559180506257902
NGC 4406,inner,no_winsor,0.22824332810451853,0.09206242301474396,0.0006230565168856951,21988,0.16258606497564854,0.000675698236184899
NGC 4406,inner,no_winsor,0.23719404685371534,0.08072335908853562,0.0005335139831862117,22816,0.152075777663282,0.0004382055200767768
NGC 4406,inner,no_winsor,0.24614476560291212,0.07309929223189403,0.0004696204328306576,23620,0.14287287693704068,0.0009629078243747526
NGC 4406,inner,no_winsor,0.25509548435210894,0.06663378635423321,0.0004311586245776337,24612,0.13524553061303504,0.00038871217347680366
NGC 4406,inner,no_winsor,0.2640462031013058,0.0595927478450271,0.00037020684487144086,25400,0.12823201924792116,0.0005512230628091356
NGC 4406,inner,no_winsor,0.27299692185050256,0.05320083207282122,0.00033418496978497033,26260,0.12179739241217606,0.0003720619814678872
NGC 4406,inner,no_winsor,0.28194764059969935,0.04877869999005648,0.0002946398128493579,27104,0.11611254608478695,0.0005673182108004686
NGC 4406,inner,no_winsor,0.2908983593488962,0.043573549474578796,0.00026349724961271484,27972,0.11075197516909396,0.0005365425431588026
NGC 4406,inner,no_winsor,0.29984907809809297,0.03833148159684153,0.00023047754226346878,28848,0.10603763265807205,0.000373987458162752
NGC 4406,inner,no_winsor,0.30879979684728975,0.03578005999385123,0.00020799099882391298,29756,0.10088450984619848,0.0006349710476792835
NGC 4406,inner,no_winsor,0.3177505155964866,0.03131956082662702,0.00018139935475272454,30580,0.09603071450902465,0.0006564554038864078
NGC 4406,inner,no_winsor,0.32670123434568343,0.02781149720509372,0.00015605909256894833,31400,0.09104773858362188,0.00035039788663835574
NGC 4406,inner,no_winsor,0.33565195309488016,0.024697709204206098,0.00013838697144459837,32284,0.08592680612085117,0.00020449802733914078
NGC 4406,inner,no_winsor,0.344602671844077,0.02170352583962217,0.00012094856735971218,33152,0.0805083800846983,0.00047897139961478204
NGC 4406,inner,no_winsor,0.35355339059327384,0.01908539352762832,0.00010483580930207267,34084,0.07507165911251733,0.0005105713984354345
NGC 4406,inner,no_winsor,0.36250410934247057,0.015792291541733092,8.612540615579549e-05,34776,0.06955266545508446,0.0004066615168967025
NGC 4406,inner,no_winsor,0.3714548280916674,0.013752616113641022,7.437574669297429e-05,35804,0.06423731058994372,0.00048565990480286197
NGC 4406,inner,no_winsor,0.38040554684086425,0.01159210896802476,6.242108372392541e-05,36560,0.058893319301048824,0.0003440136009836236
NGC 4406,inner,no_winsor,0.389356265590061,0.009852861334015096,5.257864873075562e-05,37508,0.053749676655852736,0.00040501350620451154
NGC 4406,inner,no_winsor,0.3983069843392578,0.008118815810487285,4.2611242761415146e-05,38284,0.0488660187488261,0.00048503586744975675
NGC 4406,inner,no_winsor,0.40725770308845466,0.006847731803467646,3.5890463920658085e-05,39264,0.044286850260840144,0.0004062672136572781
NGC 4406,inner,no_winsor,0.41620842183765144,0.0055373253819035,2.8199426827843474e-05,40060,0.0400708847285338,0.00044313667323097656
NGC 4406,inner,no_winsor,0.4251591405868482,0.004522725160816119,2.312108679671732e-05,40804,0.03607442615574462,0.00041350489511258126
NGC 4406,inner,no_winsor,0.43410985933604507,0.0038054653373961614,1.9378341228478436e-05,41848,0.03245978290050417,0.00023084813824979654
NGC 4406,inner,no_winsor,0.44306057808524185,0.0031013181975668817,1.5666655521853015e-05,42600,0.029278647700287173,0.0002002699291971411
NGC 4406,inner,no_winsor,0.45201129683443864,0.00256075242179879,1.2728146165039523e-05,43508,0.026429006222533594,0.00020416983559746514
NGC 4406,inner,no_winsor,0.4609620155836355,0.002049417004065127,9.99910972972888e-06,44324,0.02415655140473187,0.00018630928898300312
NGC 4406,inner,no_winsor,0.4699127343328323,0.001689080273586844,8.279846820456385e-06,45296,0.02196148521053773,0.00022251503402585907
NGC 4406,inner,no_winsor,0.47886345308202904,0.0014213353350212064,6.851376614615005e-06,46052,0.02022639739026253,0.0002135241900781929
NGC 4406,inner,no_winsor,0.4878141718312259,0.0012063812168409199,6.123076285809901e-06,46836,0.018627714657167185,0.00018927281992925618
NGC 4406,inner,no_winsor,0.49676489058042267,0.0010786630474603465,5.682426612793992e-06,47378,0.017250896154422084,0.00023223492810469862
NGC 4406,inner,no_winsor,0.5057156093296195,0.0008345215112034637,4.4333070117035656e-06,39720,0.01282298730225529,0.00023736642190839822
NGC 4406,inner,no_winsor,0.5146663280788163,0.0006652836435549214,3.74422087413793e-06,34500,0.009740884501215361,0.00010080992667052759
NGC 4406,inner,no_winsor,0.5236170468280131,0.0005585288313273266,3.2260137287586916e-06,30984,0.007586939811370783,7.647285346818872e-05
NGC 4406,inner,no_winsor,0.5325677655772099,0.0004756303989957357,2.874472632292075e-06,28352,0.005901375167282408,6.710778675135442e-05
NGC 4406,inner,no_winsor,0.5415184843264067,0.00042360607671098195,2.752660436101061e-06,25896,0.004581420919208328,2.3175950813337356e-05
NGC 4406,inner,no_winsor,0.5504692030756035,0.00037817166059110017,2.526296205122737e-06,23988,0.003513340765749005,2.803711886644873e-05
NGC 4406,inner,no_winsor,0.5594199218248004,0.0003433821613543183,2.327500533861986e-06,21908,0.002670382598086949,2.7955190307371278e-05
NGC 4406,inner,no_winsor,0.5683706405739971,0.000325308063795106,2.3304123855977957e-06,20184,0.0019903340687774302,1.7232297464068406e-05
NGC 4406,inner,no_winsor,0.577321359323194,0.0003070964231012116,2.27707528910421e-06,18540,0.001448451155293615,2.3545008651613445e-05
NGC 4406,inner,no_winsor,0.5862720780723907,0.0002986415173063486,2.36016062945081e-06,16912,0.001022620452012681,1.5213267493343783e-05
NGC 4406,inner,no_winsor,0.5952227968215875,0.0002811702794240789,2.2430422290324e-06,15512,0.0007173476594234413,1.7277685667373998e-05
NGC 4406,inner,no_winsor,0.6041735155707844,0.0002792765228848271,2.3690072431776904e-06,13976,0.0005013941299389854,1.4326548906689597e-05
NGC 4406,inner,no_winsor,0.6131242343199812,0.0002515311223994831,2.2041537799618586e-06,12688,0.00036000515387443294,7.249332571348843e-06
NGC 4406,inner,no_winsor,0.6220749530691779,0.00024935563766190726,2.370806212011179e-06,11228,0.00027025499203614,2.3483299768277997e-06
NGC 4406,inner,no_winsor,0.6310256718183748,0.00023843274706343624,2.4068523914218194e-06,10056,0.00021561323195042244,2.165281523199274e-06
NGC 4406,inner,no_winsor,0.6399763905675716,0.0002336215786536087,2.4512826934426013e-06,8716,0.0001866066560740412,1.7706275215126366e-06
NGC 4406,inner,no_winsor,0.6489271093167683,0.00022858833167120488,2.6357203350610505e-06,7484,0.000168516731122734,6.254629964360092e-07
NGC 4406,inner,no_winsor,0.6578778280659652,0.00023884223750911151,3.0363357527392117e-06,6296,0.00015916184876261157,3.421341715111192e-07
NGC 4406,inner,no_winsor,0.666828546815162,0.0002236555430579221,3.1831391434642933e-06,5076,0.0001552267613440498,4.350277182154031e-07
NGC 4406,inner,no_winsor,0.6757792655643589,0.00021501725792877154,3.407512120512582e-06,3956,0.00015359555916979705,1.3391363169978025e-06
NGC 4406,inner,no_winsor,0.6847299843135556,0.00020952419277681214,3.893347837365906e-06,2740,0.0001532024475229035,2.703424203535202e-06
NGC 4406,inner,no_winsor,0.6936807030627524,0.00023266853982680587,5.642308287935908e-06,1700,0.00015112624157998623,2.5892289125736403e-06
NGC 4406,inner,no_winsor,0.7026314218119492,0.000260161754287715,1.060031934781578e-05,544,0.00015130480073888698,4.117062062635462e-06
NGC 4406,inner,raw_global_3p5,0.004475359374598403,21.379077738465618,4.047968847979319,437,0.9231487850886514,0.003130515181629839
NGC 4406,inner,raw_global_3p5,0.013426078123795208,1.2274172535306016,0.036752516413351255,1296,0.8399559358819964,0.004150913829970925
NGC 4406,inner,raw_global_3p5,0.022376796872992013,0.9510705419919396,0.020839698655992275,2144,0.759311074423658,0.002778945777067855
NGC 4406,inner,raw_global_3p5,0.031327515622188815,0.8053382488176118,0.01488055969184269,3000,0.6962138703708874,0.006113114993564551
NGC 4406,inner,raw_global_3p5,0.04027823437138563,0.7244116428062912,0.011833202562728825,3888,0.649093772436673,0.0036472078872227024
NGC 4406,inner,raw_global_3p5,0.049228953120582425,0.6680123773257615,0.009652667085685528,4760,0.6039157574927774,0.002831401718441141
