galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4374,inner,no_winsor,0.01,0.01,0.25,5,1.1083534393340961,0.02155748770161222,0.0006035110640404183,0.02156593382187707,-0.09372924591810203,1.0,1.4752231570652008e-05,1.1083386871025256,27.888035192927934,0.021126137174767606,32.31121995181499,812.2804987953747,17.996743750398405,0.005719974606750398,k-window MAD,0.021126137174767606,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,no_winsor,0.03,0.03,0.25,5,1.1043541047209888,0.021902751860242226,0.0005230853248337724,0.02190899717715078,-0.09299904788729542,1.0,1.4752231570652008e-05,1.1043393524894183,27.89196005414613,0.021539929181690724,32.62337127553645,754.8829938827929,18.196111641900416,0.005719974606750398,k-window MAD,0.021539929181690724,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,no_winsor,0.04,0.04,0.25,5,1.100436893879704,0.021850382169433406,0.0005847615620083785,0.02185820548523359,-0.0922991655903317,1.0,1.4752231570652008e-05,1.1004221416481335,27.895818124162822,0.021566491774526082,31.852872284604903,705.3346188327364,18.371070359271865,0.005719974606750398,k-window MAD,0.021566491774526082,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,raw_global_3p5,0.01,0.01,0.25,5,1.0461728026953616,0.020671801802263984,0.0005709422377181863,0.020679684832968205,-0.08864456820617445,1.0,1.4752231570652008e-05,1.046158050463791,27.950723171294168,0.021462036750744543,33.344571804431915,838.1142951107979,18.016331058223884,0.005806816122457345,k-window MAD,0.021462036750744543,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,raw_global_3p5,0.03,0.03,0.25,5,1.0424057303016687,0.021022121888703206,0.00047727030683108876,0.021027538982231777,-0.08795690241124146,1.0,1.4752231570652008e-05,1.0423909780700982,27.954639815110745,0.021901916699471533,33.80954582005992,782.1650084068326,18.213469690592557,0.005806816122457345,k-window MAD,0.021901916699471533,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,raw_global_3p5,0.04,0.04,0.25,5,1.0386205176202705,0.020958876498083884,0.0005345555957684397,0.02096569230306742,-0.08728057488668041,1.0,1.4752231570652008e-05,1.0386057653887,27.958589602150308,0.021917085336744666,32.8930566681426,728.2186752705658,18.39054119380048,0.005806816122457345,k-window MAD,0.021917085336744666,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.0949911972988895,0.021488463936481083,0.0006036122685637037,0.021496940017598058,-0.09272127913559101,1.0,1.4752231570652008e-05,1.094976445067319,27.901204482795166,0.02131553256123709,32.90643031572777,827.1607578931942,18.00866445520347,0.005779375514206363,k-window MAD,0.02131553256123709,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.0910669354265208,0.02184808643704616,0.0005085829016991175,0.021854005068374562,-0.0920048711116595,1.0,1.4752231570652008e-05,1.0910521831949502,27.905102618175043,0.021747524900431123,33.27680716886374,769.9120194293205,18.206699489642226,0.005779375514206363,k-window MAD,0.021747524900431123,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.087109075792224,0.02177248528603801,0.0005633507377966357,0.021779772257407046,-0.09129799964426082,1.0,1.4752231570652008e-05,1.0870943235606534,27.909048354804266,0.021752562550230406,32.42213585718024,717.8584174293937,18.38151308873498,0.005779375514206363,k-window MAD,0.021752562550230406,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4374,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.0947944667030278,0.021486184329109797,0.000603506259342818,0.02149465833246831,-0.09270651974508347,1.0,1.4752231570652008e-05,1.0947797144714573,27.901399570755213,0.021317100099661458,32.91158051783009,827.2895129457522,18.00884827856834,0.00578020353239295,k-window MAD,0.021317100099661458,"max(fit covariance + PSF MAD, k-window MAD)"
