galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 1399,inner,no_winsor,0.01,0.01,0.25,stpsf_R2023101202-NRCA3_FP1-1,27,0.921454830750782,-0.05915175718150326,0.013523894572745472,1.353447518706626e-05,0.921441296275595,28.08834064765575,0.015935233233317192,456.2841221221815,18.25136488488726,460.7841221221815,21.0413368661075
NGC 1399,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9178181101432722,-0.058733962529161174,0.01271313180429085,1.353447518706626e-05,0.9178045756680852,28.09263428173286,0.01503926635551267,406.65495071428035,16.266198028571214,411.15495071428035,20.952961598383514
NGC 1399,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9189554159964219,-0.05973069137115892,0.013062100662501196,1.353447518706626e-05,0.9189418815212349,28.091289714774664,0.0154329625024768,428.11597091080876,17.12463883643235,432.61597091080876,20.987086269148534
NGC 1399,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9232208440327991,-0.057259386236551996,0.012005870659207636,1.353447518706626e-05,0.9232073095576121,28.086261742071112,0.014119481409426196,358.63793951281895,14.345517580512757,363.13793951281895,21.055378965256995
NGC 1399,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9169925451502341,-0.06013116225138604,0.013675350523939726,1.353447518706626e-05,0.9169790106750471,28.093611340683555,0.016192108002198412,471.03115750643383,18.841246300257353,475.53115750643383,20.9521994222142
NGC 1399,inner,no_winsor,0.03,0.03,0.25,stpsf_R2023101202-NRCA3_FP1-1,25,0.9198967031085963,-0.05892688424875174,0.014077485897657758,1.353447518706626e-05,0.9198831686334092,28.090178146726426,0.016615627540794972,441.3925284973806,19.190979499886115,445.9379830428352,21.357016711229047
NGC 1399,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.9162558703204722,-0.05850831651993272,0.013184752854140565,1.353447518706626e-05,0.9162423358452851,28.09448394079633,0.015623774371135062,390.51068979911804,16.978725643439915,395.0561443445726,21.266699999497035
NGC 1399,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9172837440809974,-0.05948777949333443,0.013541750036373059,1.353447518706626e-05,0.9172702096058104,28.09326660538687,0.01602883003972553,410.91932302197154,17.866057522694415,415.4647775674261,21.298794100967037
NGC 1399,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.9215712523282145,-0.05702519374310698,0.012381785323470933,1.353447518706626e-05,0.9215577178530274,28.088203476533213,0.014587640410146532,340.63968629562794,14.81042114328817,345.1851408410825,21.368410863854155
NGC 1399,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9151395910027157,-0.059860621769042124,0.014178798607582912,1.353447518706626e-05,0.9151260565275287,28.095807524871557,0.016822201573673395,452.37528456329943,19.66849063318693,456.920739108754,21.25908853363936
NGC 1399,inner,no_winsor,0.04,0.04,0.25,stpsf_R2023101202-NRCA3_FP1-1,24,0.9167688160297652,-0.058479127011408345,0.013700470700612748,1.353447518706626e-05,0.9167552815545782,28.093876276348865,0.016225810051139215,392.3162502892702,17.832556831330464,396.88767886069877,21.559707979428612
NGC 1399,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.9132867047272221,-0.058082821393890975,0.012827998664694399,1.353447518706626e-05,0.913273170252035,28.098008079730477,0.015250445363465568,346.7657591133533,15.762079959697877,351.33718768478184,21.47250744858063
NGC 1399,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9142697882916184,-0.059053165899237474,0.013189616347811878,1.353447518706626e-05,0.9142562538164314,28.096839978678787,0.015663490335352272,365.7170636671381,16.623502893960822,370.2884922385667,21.503810127727967
NGC 1399,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9188803108236857,-0.056645900988799285,0.012129540850169785,1.353447518706626e-05,0.9188667763484987,28.091378455683465,0.014332307998398285,306.42397151498113,13.928362341590052,310.9954000864097,21.58325745585199
NGC 1399,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9122505578704874,-0.05944175647631318,0.013961599195303416,1.353447518706626e-05,0.9122370233953003,28.09924059246092,0.016616968325011944,411.36131143110106,18.698241428686412,415.9327400025296,21.467193126519042
NGC 1399,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_R2023101202-NRCA3_FP1-1,27,0.8399943199699476,-0.05322719159810798,0.012185470546504863,1.353447518706626e-05,0.8399807854947605,28.188836448731177,0.01575060617197497,441.8613389514046,17.674453558056186,446.3613389514046,20.88312191621765
