galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4697,inner,no_winsor,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,2.6282146555180166,-0.21899837026063615,0.05815141544964645,0.0002958889936654,2.6279187665243513,26.950733909030227,0.024025513237274313,1012.9120723731152,40.51648289492461,1017.4120723731152,18.277793488163763
NGC 4697,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,2.6288664099558816,-0.21832615401373429,0.05764427900227266,0.0002958889936654,2.6285705209622163,26.9504646672018,0.023810082404422533,995.043292983652,39.80173171934608,999.543292983652,18.27841605883518
NGC 4697,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,2.631499926631253,-0.22052445465425174,0.0584379863083777,0.0002958889936654,2.6312040376375876,26.94937743252763,0.02411376562234687,1020.2766443852086,40.811065775408345,1024.7766443852086,18.303731798682833
NGC 4697,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,2.639138053996318,-0.21448623470704017,0.05505532294373336,0.0002958889936654,2.638842165002653,26.946230212596454,0.022652191244110324,901.6350294573662,36.06540117829465,906.1350294573662,18.325616585447857
NGC 4697,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,2.6289644052977383,-0.22303951372058026,0.05820461930250454,0.0002958889936654,2.628668516304073,26.950424190788304,0.02404063580817922,1014.17222729369,40.5668890917476,1018.67222729369,18.29275828681985
NGC 4697,inner,no_winsor,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,2.6182990915881135,-0.21724952228027586,0.059132400063318005,0.0002958889936654,2.618003202594448,26.954838316085226,0.024523341896358918,941.7565872520814,40.945938576177454,946.3020417975359,18.485657998931938
NGC 4697,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,2.6192850798715237,-0.21663867755658286,0.05875228531448973,0.0002958889936654,2.6189891908778584,26.954429484790857,0.02435652789267117,929.134174435082,40.39713801891661,933.6796289805364,18.489202218435526
NGC 4697,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,2.6218745031277164,-0.21882317944141533,0.05939633661017901,0.0002958889936654,2.621578614134051,26.95335653586162,0.02459920627212385,947.52456464775,41.19672020207609,952.0700191932045,18.51386395930926
NGC 4697,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,2.6300482124978615,-0.21290434940811642,0.056011862429751,0.0002958889936654,2.629752323504196,26.94997663104797,0.023125412379092918,838.5266537042778,36.45768059583816,843.0721082497323,18.54067986534559
NGC 4697,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,2.6196529602499825,-0.22138291672942978,0.059242970131353344,0.0002958889936654,2.6193570712563172,26.954276985881243,0.024556498331158815,944.2753680974336,41.055450786844936,948.8208226428881,18.50521370080946
