galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 1380,inner,no_winsor,0.004473650243842351,5.532134566337033,0.8777034557299088,433,0.922218125930166,0.008345614956538914
NGC 1380,inner,no_winsor,0.013420950731527052,0.9457632685573584,0.02872622398996751,1296,0.8384556173674605,0.0027725839571039962
NGC 1380,inner,no_winsor,0.02236825121921175,0.7870149089567751,0.01630509094929166,2148,0.7558986676118079,0.0016391256968593722
NGC 1380,inner,no_winsor,0.031315551706896455,0.6379720787949984,0.011301209641572399,3000,0.6928921800694946,0.005763675486481446
NGC 1380,inner,no_winsor,0.04026285219458116,0.5798422567443917,0.009389332371016364,3884,0.6462901116006565,0.005113979298614032
NGC 1380,inner,no_winsor,0.04921015268226586,0.5667040325191922,0.00807874018081663,4760,0.6036247970714437,0.0009848154933658826
NGC 1380,inner,no_winsor,0.05815745316995056,0.5022438219310426,0.006703958016060327,5552,0.5676471982475328,0.002157093420483482
NGC 1380,inner,no_winsor,0.06710475365763527,0.4589890899703107,0.005563429096863725,6500,0.5390658699252711,0.0010333926011109197
NGC 1380,inner,no_winsor,0.07605205414531996,0.4323061675545922,0.005002060019624128,7312,0.5058058736718766,0.0006014850325559867
NGC 1380,inner,no_winsor,0.08499935463300468,0.40712241565543483,0.004655812146538136,8176,0.4761899089457948,0.000990410826817458
NGC 1380,inner,no_winsor,0.09394665512068937,0.3708476532346488,0.003825164132503376,9032,0.4469590504565263,0.0028181230008161168
NGC 1380,inner,no_winsor,0.10289395560837407,0.33353448291407967,0.003364260505840573,9936,0.4183181763430932,0.0008821523226877849
NGC 1380,inner,no_winsor,0.11184125609605877,0.29681284697903676,0.0029045487608806253,10768,0.3919961745836834,0.001150955208883797
NGC 1380,inner,no_winsor,0.12078855658374346,0.2714219631084587,0.0025263372367582463,11580,0.367864694783187,0.0022860559004007157
NGC 1380,inner,no_winsor,0.12973585707142818,0.2598109524638868,0.002326612937276344,12520,0.3450100853933829,0.0011500782149046227
NGC 1380,inner,no_winsor,0.13868315755911287,0.23973391807190292,0.002090943509771122,13332,0.3240012680554853,0.0006354696910627583
NGC 1380,inner,no_winsor,0.14763045804679759,0.21493115192043613,0.0017921614702286592,14210,0.3050894418736383,0.001518395656096217
NGC 1380,inner,no_winsor,0.15657775853448228,0.190216388582792,0.0015865932466437452,15074,0.2853302492122798,0.0015123668624186998
NGC 1380,inner,no_winsor,0.16552505902216696,0.17126771567839702,0.001406996550274838,15960,0.2662190333943779,0.0014318437624935298
NGC 1380,inner,no_winsor,0.17447235950985168,0.14900868534336065,0.0011388767307009765,16796,0.2481473436497594,0.0007158203391802756
NGC 1380,inner,no_winsor,0.1834196599975364,0.1367168786953116,0.0010469624611386303,17600,0.2310813496773195,0.0024250054972060012
NGC 1380,inner,no_winsor,0.1923669604852211,0.1190464505612752,0.0008768543272564443,18560,0.2166926521746114,0.002285953192779215
NGC 1380,inner,no_winsor,0.20131426097290578,0.1078531634042068,0.0007682235576975747,19368,0.2009469367728379,0.001122968245517508
NGC 1380,inner,no_winsor,0.2102615614605905,0.09264965246940873,0.0006508417023857181,20246,0.1877196594047713,0.0007901364917089125
NGC 1380,inner,no_winsor,0.21920886194827519,0.08612800261706763,0.0005952990741417622,21078,0.1751480087711233,0.0013353431524193353
NGC 1380,inner,no_winsor,0.22815616243595988,0.07685237227063492,0.0005223813565682217,22000,0.1631797206346472,0.0012663518497967497
NGC 1380,inner,no_winsor,0.2371034629236446,0.06738706060061211,0.0004564144123034813,22750,0.1528147881916698,0.0007452256549211583
NGC 1380,inner,no_winsor,0.2460507634113293,0.0595155813379389,0.00038891726119104375,23702,0.1434317992650556,0.0012818575828508546
NGC 1380,inner,no_winsor,0.254998063899014,0.053174719866196665,0.0003345526780548978,24568,0.1357455279336306,0.0006415254555378439
NGC 1380,inner,no_winsor,0.2639453643866987,0.04730463095511077,0.0003001607807610876,25424,0.1289031434356068,0.0005350569956717319
NGC 1380,inner,no_winsor,0.2728926648743834,0.04286197179133018,0.00026474657987523475,26246,0.1221702672402371,0.0007307511814038635
NGC 1380,inner,no_winsor,0.2818399653620681,0.039357471678113716,0.00024155253353374927,27102,0.1164310295548304,0.0009360140445194811
NGC 1380,inner,no_winsor,0.2907872658497528,0.03574948447306605,0.00021318753365420065,28052,0.1111143927423129,0.0008240473045666437
NGC 1380,inner,no_winsor,0.2997345663374375,0.03199399345889637,0.00018951258280729924,28774,0.1064057865222351,0.0002160971340038889
NGC 1380,inner,no_winsor,0.3086818668251222,0.027150608684073846,0.00015960961654887736,29762,0.1011527258708987,0.0010097524108171854
NGC 1380,inner,no_winsor,0.3176291673128069,0.024564537887004575,0.0001415162978356389,30604,0.0962061800455676,0.0007542895450736952
NGC 1380,inner,no_winsor,0.32657646780049165,0.022321265934512363,0.00012812665980249262,31396,0.0912007955391045,0.0002559167279674061
NGC 1380,inner,no_winsor,0.3355237682881763,0.019438807699237587,0.00011139876946148434,32310,0.0862430976563475,0.0003711898805294058
NGC 1380,inner,no_winsor,0.344471068775861,0.017184560930814576,9.501026287896022e-05,33150,0.0807245534052752,0.0005462881502916932
NGC 1380,inner,no_winsor,0.35341836926354575,0.014550102269145637,8.019034493928642e-05,34048,0.0751141770285477,0.000420763330745751
