schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17521,857.8765432098766,2928.5833333333335,324,1885.1227958068769,1885.1227958068769,1885.1227958068769,4.319781263110965e-05,19.811411231303385,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17916,1961.6153846153845,3212.602910602911,481,1808.1042251137578,1808.1042251137578,1808.1042251137578,4.143292294152675e-05,19.856701691607185,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17776,1072.0036101083033,3043.075812274368,277,1505.183569031055,1505.183569031055,1505.183569031055,3.4491460150529895e-05,20.055786672178844,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17917,2011.904255319149,3220.058510638298,188,1343.1773078497297,1343.1773078497297,1343.1773078497297,3.0779067445320445e-05,20.179426979050955,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17102,1288.072708113804,2791.027397260274,949,1108.1126922886124,1108.1126922886124,1108.1126922886124,2.5392533877428015e-05,20.388300520937133,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17912,1934.2520547945205,3195.3278538812783,1095,1042.0140297160428,1042.0140297160428,1042.0140297160428,2.3877875178627094e-05,20.45507642828867,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17913,1985.1032702237521,3193.8227194492256,581,970.7776204164924,970.7776204164924,970.7776204164924,2.2245484403723816e-05,20.531960954503656,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17560,80.80853174603175,2952.5406746031745,1008,951.308937632583,951.308937632583,951.308937632583,2.1799357226786328e-05,20.55395640168532,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17914,2034.793633369923,3201.7826564215147,911,827.4757771635018,827.4757771635018,827.4757771635018,1.8961705655567667e-05,20.705372120541412,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16744,678.4510763209394,2631.5577299412917,1022,768.072809584447,768.072809584447,768.072809584447,1.7600479602326106e-05,20.78625436669489,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,272,721.758064516129,2064.298387096774,124,471.44138308431405,471.44138308431405,471.44138308431405,1.0803135253749123e-05,21.31619108870367,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18740,1637.6379525593009,3350.665418227216,801,342.7728094619698,342.7728094619698,342.7728094619698,7.854679616157026e-06,21.66224443393861,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,5341,1931.8507936507935,2834.9396825396825,315,304.6858952497385,304.6858952497385,304.6858952497385,6.981913456044416e-06,21.790129469191708,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18753,1629.474801061008,3491.8541114058353,377,280.1065025899138,280.1065025899138,280.1065025899138,6.418673755656032e-06,21.88145236679137,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17920,1990.4506578947369,3270.157894736842,304,237.22227571028586,237.22227571028586,237.22227571028586,5.435976606326166e-06,22.06187167457651,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17919,1995.1027397260275,3256.931506849315,146,236.42746311384812,236.42746311384812,236.42746311384812,5.417763381334068e-06,22.065515538601808,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,1489,1327.7335907335907,2384.003861003861,259,232.31116201102722,232.31116201102722,232.31116201102722,5.323437852955543e-06,22.084585151335574,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16861,1456.3300330033003,2666.4059405940593,303,229.1164897992721,229.1164897992721,229.1164897992721,5.250231560013686e-06,22.0996194766157,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17906,1036.2952380952381,3086.6476190476187,105,200.13020348295527,200.13020348295527,200.13020348295527,4.586007368385891e-06,22.24647875183234,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16418,1171.0532915360502,2062.858934169279,319,193.88437463395795,193.88437463395795,193.88437463395795,4.442883458927525e-06,22.28090331870318,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17802,1465.1017699115043,3052.2433628318586,226,189.286478393346,189.286478393346,189.286478393346,4.3375221208008885e-06,22.3069613656568,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18421,1633.2193548387097,3254.232258064516,155,160.25781493912507,160.25781493912507,160.25781493912507,3.6723268520278292e-06,22.487712301719817,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18757,1575.0135135135135,3520.959459459459,222,159.87458318331795,159.87458318331795,159.87458318331795,3.6635450508536723e-06,22.490311781143287,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,354,1635.3207547169811,2202.5849056603774,53,151.90917100123204,151.90917100123204,151.90917100123204,3.4810166852020187e-06,22.545800359910494,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18759,1573.2295514511873,3541.641160949868,379,149.99698592166033,149.99698592166033,149.99698592166033,3.4371987371261286e-06,22.559554013395406,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,9775,1350.575,3317.7875,80,146.9048520748765,146.9048520748765,146.9048520748765,3.3663421229889537e-06,22.58216999367608,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17398,1237.6290322580646,2884.198924731183,186,138.2806316870476,138.2806316870476,138.2806316870476,3.168717089101774e-06,22.647856957192822,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17109,1317.1586206896552,2806.503448275862,145,138.05500714773444,138.05500714773444,138.05500714773444,3.1635468760016467e-06,22.649629937228863,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18050,1006.2906976744187,3137.1627906976746,86,131.2639834379258,131.2639834379258,131.2639834379258,3.007929761592835e-06,22.70439639529971,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17381,1467.1563981042655,2871.6398104265404,211,118.27404227097662,118.27404227097662,118.27404227097662,2.710263717838466e-06,22.817536744146302,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,19739,629.4220183486239,3816.862385321101,109,115.16680011705702,115.16680011705702,115.16680011705702,2.63906089504991e-06,22.84644209360684,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18760,1593.342372881356,3554.1322033898305,295,114.09694275580857,114.09694275580857,114.09694275580857,2.614544986624198e-06,22.85657532521327,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18746,1560.5641025641025,3456.6820512820514,195,110.98786164636108,110.98786164636108,110.98786164636108,2.5433000239514353e-06,22.886571633894857,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15984,1220.4887218045112,4106.105263157895,133,110.84090024095028,110.84090024095028,110.84090024095028,2.5399323859020406e-06,22.888010233114752,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,7208,1429.2881355932204,3039.14406779661,118,110.32501766223659,110.32501766223659,110.32501766223659,2.528110875375248e-06,22.893075330072303,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17921,1986.7056856187291,3298.705685618729,299,108.07355793950639,108.07355793950639,108.07355793950639,2.4765184085792797e-06,22.91546172090792,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18734,1665.9510204081632,3349.6326530612246,245,107.00296604781282,107.00296604781282,107.00296604781282,2.4519856683012283e-06,22.92627080370614,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18732,1658.725,3336.60625,320,102.70258198214714,102.70258198214714,102.70258198214714,2.3534418569783574e-06,22.970806939029607,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17888,899.9607843137255,3079.0392156862745,51,101.1019980133803,101.1019980133803,101.1019980133803,2.316764285343798e-06,22.987860998297162,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18700,1121.7314814814815,3329.0555555555557,108,100.68959912184627,100.68959912184627,100.68959912184627,2.3073141157923027e-06,22.992298814708487,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,19645,170.21794871794873,3673.4679487179487,156,100.21185293919847,100.21185293919847,100.21185293919847,2.2963665053081727e-06,22.99746261317405,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17986,842.010989010989,3105.5934065934066,91,99.95378838948773,99.95378838948773,99.95378838948773,2.2904529255191356e-06,23.000262196340948,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17775,1061.297619047619,3033.904761904762,84,98.16730671568807,98.16730671568807,98.16730671568807,2.2495154859075814e-06,23.01984315417723,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,10283,1844.469135802469,3372.4691358024693,81,88.55633644883778,88.55633644883778,88.55633644883778,2.02927896141483e-06,23.131711240189862,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,6373,1051.431818181818,2944.2954545454545,44,88.2287297576663,88.2287297576663,88.2287297576663,2.021771815199527e-06,23.135735277517494,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17911,1984.717472118959,3127.646840148699,269,87.11973102236796,87.11973102236796,87.11973102236796,1.996358977541357e-06,23.149469029468413,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18739,1604.7914893617021,3369.310638297872,235,82.91300894016419,82.91300894016419,82.91300894016419,1.899961441687249e-06,23.203203653890128,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16971,498.5520833333333,2705.1458333333335,96,76.85066988192861,76.85066988192861,76.85066988192861,1.7610422225645354e-06,23.28564120055404,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18747,1552.5627906976745,3466.3627906976744,215,76.07764778438953,76.07764778438953,76.07764778438953,1.7433283294412454e-06,23.296617653307813,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,6558,636.7647058823529,2965.235294117647,68,75.7649509418203,75.7649509418203,75.7649509418203,1.7361628441764707e-06,23.301089478288148,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18346,1499.9021739130435,3233.565217391304,92,75.51141560614559,75.51141560614559,75.51141560614559,1.7303530518646898e-06,23.304728814122903,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16545,935.8409090909091,2469.75,88,72.95872778107571,72.95872778107571,72.95872778107571,1.6718579073476532e-06,23.3420672132645,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18738,1675.7837837837837,3362.5513513513515,185,68.84872306938168,68.84872306938168,68.84872306938168,1.577676661519185e-06,23.40502061956435,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,11773,1103.84375,3524.25,64,67.62441712692502,67.62441712692502,67.62441712692502,1.5496215455219486e-06,23.424501507114943,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18761,1571.6271186440679,3558.7754237288136,236,60.578834959558684,60.578834959558684,60.578834959558684,1.3881711938419627e-06,23.54395805216479,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18756,1651.5849056603774,3499.316037735849,212,55.84055204571351,55.84055204571351,55.84055204571351,1.2795928784342054e-06,23.63238608639299,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17926,1006.4038461538462,3085.3076923076924,52,55.21516208706081,55.21516208706081,55.21516208706081,1.2652619932975195e-06,23.644614465691664,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,4585,1202.8865979381444,2749.2474226804125,97,55.01514826367385,55.01514826367385,55.01514826367385,1.2606786527928477e-06,23.64855462492997,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,10815,499.23636363636365,3430.0545454545454,55,54.26346039741559,54.26346039741559,54.26346039741559,1.2434536361117438e-06,23.663491630688366,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17731,1178.7702702702702,3026.189189189189,74,54.16448993690405,54.16448993690405,54.16448993690405,1.2411857162612694e-06,23.665473699734036,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18752,1645.4464285714287,3482.392857142857,112,51.538260324230315,51.538260324230315,51.538260324230315,1.1810053529518365e-06,23.719435957096504,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17787,1244.6567164179105,3038.0,67,51.19548853942511,51.19548853942511,51.19548853942511,1.1731506968158108e-06,23.726681115028594,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,7506,1273.121951219512,3069.2682926829266,41,50.95684014685402,50.95684014685402,50.95684014685402,1.1676820405723384e-06,23.731754120700565,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18679,977.0602409638554,3340.2771084337346,83,50.6441407647016,50.6441407647016,50.6441407647016,1.1605164971127136e-06,23.738437326105718,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18749,1551.5661764705883,3479.0220588235297,136,50.499457263268475,50.499457263268475,50.499457263268475,1.157201057503356e-06,23.741543567646417,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18737,1665.6627906976744,3360.0,86,50.399015217703074,50.399015217703074,50.399015217703074,1.1548994161066941e-06,23.743705217841743,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18743,1675.0204081632653,3446.9455782312925,147,50.363580981046404,50.363580981046404,50.363580981046404,1.1540874363676418e-06,23.744468839198547,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17437,230.60256410256412,2896.7820512820513,156,50.213176130615125,50.213176130615125,50.213176130615125,1.150640891366864e-06,23.747716112582637,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18762,1605.208092485549,3565.658959537572,173,50.18220737320633,50.18220737320633,50.18220737320633,1.1499312386148316e-06,23.748385942230733,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17956,988.6486486486486,3104.162162162162,37,47.086891000727974,47.086891000727974,47.086891000727974,1.0790016965235989e-06,23.817510303461287,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18107,975.85,3144.9,60,46.03167025671351,46.03167025671351,46.03167025671351,1.0548211879191787e-06,23.84211851035861,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,1259,749.4354838709677,2345.1935483870966,62,44.46249546206996,44.46249546206996,44.46249546206996,1.0188633612379418e-06,23.87977575951668,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17347,1043.5416666666665,2863.4791666666665,48,43.48287329212683,43.48287329212683,43.48287329212683,9.96415202931962e-07,23.903964759236146,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18748,1668.4347826086957,3468.014492753623,138,42.71809924045678,42.71809924045678,42.71809924045678,9.788903147588088e-07,23.923230543345632,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18733,1620.5,3342.981012658228,158,42.471910546365386,42.471910546365386,42.471910546365386,9.732488716109602e-07,23.92950585011335,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18750,1657.469387755102,3480.986394557823,147,42.08620100353433,42.08620100353433,42.08620100353433,9.644102916530349e-07,23.939411031580818,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17744,990.2765957446809,3020.446808510638,47,41.550418943020055,41.550418943020055,41.550418943020055,9.521327821387016e-07,23.953321826612726,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,9525,1691.095238095238,3285.5238095238096,42,40.86893027296017,40.86893027296017,40.86893027296017,9.365163883711696e-07,23.97127716822595,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17955,996.3333333333334,3099.6944444444443,36,40.6804285289092,40.6804285289092,40.6804285289092,9.321968485309726e-07,23.97629654632268,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17700,1104.1304347826087,3003.6521739130435,46,40.3966586975437,40.3966586975437,40.3966586975437,9.256942291615848e-07,23.98389673148849,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17810,1101.0975609756097,3051.951219512195,41,40.042018887430714,40.042018887430714,40.042018887430714,9.175676158168898e-07,23.993470428816124,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18197,1068.2711864406779,3185.389830508475,59,39.96973754282292,39.96973754282292,39.96973754282292,9.159112802253636e-07,23.995432102890526,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,14177,378.4512195121951,3810.8170731707314,82,39.920874765724186,39.920874765724186,39.920874765724186,9.147915838881054e-07,23.99676022120739,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18084,1064.78,3145.2,50,39.821036866540275,39.821036866540275,39.821036866540275,9.125037865774882e-07,23.99947893401904,
sbf-table-2,sbf-3.1,IC 3358,7763,049,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18031,1027.3541666666665,3120.229166666667,48,39.28596523983478,39.28596523983478,39.28596523983478,9.002425567382121e-07,24.01416677407169,
